TIME-H	TIME-M	TIME-S	BASE-MAG-READINGS
8	30	2	46653.128
8	31	2	46652.628
8	32	2	46652.028
8	33	2	46652.028
8	34	2	46651.628
8	35	2	46651.928
8	36	2	46651.928
8	37	2	46651.928
8	38	2	46651.628
8	39	2	46651.128
8	40	2	46651.128
8	41	2	46651.128
8	42	2	46651.128
8	43	2	46651.128
8	44	2	46651.228
8	45	2	46651.328
8	46	2	46651.528
8	47	2	46651.528
8	48	2	46651.728
8	49	2	46651.528
8	50	2	46651.328
8	51	2	46650.928
8	52	2	46650.928
8	53	2	46651.128
8	54	2	46651.228
8	55	2	46651.428
8	56	2	46651.128
8	57	2	46650.728
8	58	2	46650.828
8	59	2	46650.828
9	0	2	46651.028
9	1	2	46651.028
9	2	2	46651.128
9	3	2	46650.828
9	4	2	46650.528
9	5	2	46650.228
9	6	2	46649.928
9	7	2	46649.928
9	8	2	46650.028
9	9	2	46649.628
9	10	2	46649.628
9	11	2	46649.428
9	12	2	46649.428
9	13	2	46649.428
9	14	2	46649.228
9	15	2	46648.928
9	16	2	46648.728
9	17	2	46648.628
9	18	2	46648.528
9	19	2	46648.428
9	20	2	46648.628
9	21	2	46648.528
9	22	2	46648.528
9	23	2	46648.528
9	24	2	46648.328
9	25	2	46648.328
9	26	2	46648.328
9	27	2	46648.228
9	28	2	46648.028
9	29	2	46647.928
9	30	2	46647.828
9	31	2	46647.528
9	32	2	46647.428
9	33	2	46647.228
9	34	2	46647.028
9	35	2	46646.828
9	36	2	46646.528
9	37	2	46646.328
9	38	2	46646.428
9	39	2	46646.428
9	40	2	46646.328
9	41	2	46646.328
9	42	2	46646.228
9	43	2	46646.128
9	44	2	46646.028
9	45	2	46646.128
9	46	2	46645.928
9	47	2	46645.928
9	48	2	46645.928
9	49	2	46645.928
9	50	2	46646.028
9	51	2	46646.228
9	52	2	46646.528
9	53	2	46646.728
9	54	2	46646.628
9	55	2	46646.528
9	56	2	46646.428
9	57	2	46646.428
9	58	2	46646.228
9	59	2	46646.228
10	0	2	46646.128
10	1	2	46646.028
10	2	2	46646.028
10	3	2	46645.828
10	4	2	46645.928
10	5	2	46645.828
10	6	2	46645.928
10	7	2	46646.028
10	8	2	46646.228
10	9	2	46646.128
10	10	2	46646.228
10	11	2	46646.228
10	12	2	46646.228
10	13	2	46646.328
10	14	2	46646.228
10	15	2	46646.028
10	16	2	46646.128
10	17	2	46646.128
10	18	2	46646.228
10	19	2	46646.428
10	20	2	46646.328
10	21	2	46646.328
10	22	2	46646.528
10	23	2	46646.528
10	24	2	46646.528
10	25	2	46646.528
10	26	2	46646.628
10	27	2	46646.628
10	28	2	46646.428
10	29	2	46646.528
10	30	2	46646.528
10	31	2	46646.628
10	32	2	46646.628
10	33	2	46646.628
10	34	2	46646.328
10	35	2	46646.128
10	36	2	46646.128
10	37	2	46646.428
10	38	2	46646.328
10	39	2	46646.428
10	40	2	46646.328
10	41	2	46646.128
10	42	2	46646.228
10	43	2	46646.428
10	44	2	46646.528
10	45	2	46646.628
10	46	2	46646.328
10	47	2	46646.228
10	48	2	46646.128
10	49	2	46646.128
10	50	2	46646.128
10	51	2	46645.928
10	52	2	46646.028
10	53	2	46646.128
10	54	2	46646.128
10	55	2	46646.128
10	56	2	46645.828
10	57	2	46646.028
10	58	2	46646.028
10	59	2	46645.828
11	0	2	46645.828
11	1	2	46645.728
11	2	2	46645.628
11	3	2	46645.428
11	4	2	46645.228
11	5	2	46645.228
11	6	2	46645.328
11	7	2	46645.328
11	8	2	46645.428
11	9	2	46645.528
11	10	2	46645.528
11	11	2	46645.428
11	12	2	46645.328
11	13	2	46645.528
11	14	2	46645.628
11	15	2	46645.628
11	16	2	46645.728
11	17	2	46645.728
11	18	2	46645.828
11	19	2	46645.728
11	20	2	46645.728
11	21	2	46645.628
11	22	2	46645.728
11	23	2	46645.728
11	24	2	46645.828
11	25	2	46645.828
11	26	2	46645.728
11	27	2	46645.428
11	28	2	46645.228
11	29	2	46645.128
11	30	2	46645.028
11	31	2	46644.728
11	32	2	46644.628
11	33	2	46644.728
11	34	2	46644.728
11	35	2	46644.928
11	36	2	46644.928
11	37	2	46644.928
11	38	2	46645.028
11	39	2	46645.328
11	40	2	46645.228
11	41	2	46645.228
11	42	2	46645.428
11	43	2	46645.328
11	44	2	46645.428
11	45	2	46645.528
11	46	2	46645.528
11	47	2	46645.728
11	48	2	46645.728
11	49	2	46645.728
11	50	2	46645.828
11	51	2	46645.728
11	52	2	46645.628
11	53	2	46645.528
11	54	2	46645.428
11	55	2	46645.328
11	56	2	46645.128
11	57	2	46645.128
11	58	2	46645.028
11	59	2	46645.028
12	0	2	46644.828
12	1	2	46644.828
12	2	2	46644.628
12	3	2	46644.628
12	4	2	46644.528
12	5	2	46644.628
12	6	2	46644.628
12	7	2	46644.928
12	8	2	46644.928
12	9	2	46645.028
12	10	2	46645.028
12	11	2	46645.128
12	12	2	46645.128
12	13	2	46645.028
12	14	2	46644.828
12	15	2	46644.728
12	16	2	46644.828
12	17	2	46644.228
12	18	2	46644.328
12	19	2	46644.428
12	20	2	46643.928
12	21	2	46643.628
12	22	2	46644.228
12	23	2	46644.128
12	24	2	46644.028
12	25	2	46644.128
12	26	2	46643.728
12	27	2	46643.428
12	28	2	46643.928
12	29	2	46643.728
12	30	2	46643.728
12	31	2	46643.728
12	32	2	46643.828
12	33	2	46644.028
12	34	2	46644.028
12	35	2	46644.328
12	36	2	46644.528
12	37	2	46644.528
12	38	2	46644.828
12	39	2	46645.028
12	40	2	46645.328
12	41	2	46645.928
12	42	2	46646.128
12	43	2	46646.528
12	44	2	46646.828
12	45	2	46647.428
12	46	2	46647.728
12	47	2	46647.728
12	48	2	46648.428
12	49	2	46649.028
12	50	2	46649.328
12	51	2	46649.128
12	52	2	46649.128
12	53	2	46648.928
12	54	2	46648.528
12	55	2	46648.428
12	56	2	46648.528
12	57	2	46648.328
12	58	2	46648.128
12	59	2	46647.828
13	0	2	46647.428
13	1	2	46647.228
13	2	2	46646.728
13	3	2	46646.528
13	4	2	46646.228
13	5	2	46646.128
13	6	2	46645.928
13	7	2	46645.728
13	8	2	46645.528
13	9	2	46645.528
13	10	2	46645.328
13	11	2	46645.328
13	12	2	46645.428
13	13	2	46645.128
13	14	2	46645.028
13	15	2	46644.928
13	16	2	46645.028
13	17	2	46645.228
13	18	2	46645.028
13	19	2	46644.928
13	20	2	46644.728
13	21	2	46644.728
13	22	2	46644.628
13	23	2	46644.628
13	24	2	46644.728
13	25	2	46644.628
13	26	2	46644.528
13	27	2	46644.528
13	28	2	46644.428
13	29	2	46644.528
13	30	2	46645.028
13	31	2	46645.428
13	32	2	46645.628
13	33	2	46646.128
13	34	2	46646.228
13	35	2	46646.528
13	36	2	46647.028
13	37	2	46647.528
13	38	2	46647.728
13	39	2	46647.828
13	40	2	46647.928
13	41	2	46648.228
13	42	2	46648.528
13	43	2	46648.828
13	44	2	46648.928
13	45	2	46648.828
13	46	2	46648.628
13	47	2	46648.528
13	48	2	46648.628
13	49	2	46648.528
13	50	2	46648.628
13	51	2	46648.228
13	52	2	46648.028
13	53	2	46647.928
13	54	2	46647.628
13	55	2	46647.228
13	56	2	46646.928
13	57	2	46646.428
13	58	2	46646.228
13	59	2	46645.928
14	0	2	46645.628
14	1	2	46645.428
14	2	2	46645.128
14	3	2	46644.828
14	4	2	46644.628
14	5	2	46644.328
14	6	2	46644.028
14	7	2	46644.128
14	8	2	46644.128
14	9	2	46644.028
14	10	2	46644.128
14	11	2	46644.128
14	12	2	46644.228
14	13	2	46644.228
14	14	2	46644.228
14	15	2	46643.928
14	16	2	46643.828
14	17	2	46644.028
14	18	2	46644.128
14	19	2	46644.328
14	20	2	46644.428
14	21	2	46644.728
14	22	2	46644.628
14	23	2	46644.728
14	24	2	46644.628
14	25	2	46644.628
14	26	2	46644.628
14	27	2	46644.728
14	28	2	46644.728
14	29	2	46644.628
14	30	2	46644.628
14	31	2	46644.628
14	32	2	46644.928
14	33	2	46644.928
14	34	2	46645.028
14	35	2	46644.928
14	36	2	46644.928
14	37	2	46645.028
14	38	2	46645.128
14	39	2	46645.128
14	40	2	46645.228
14	41	2	46645.428
14	42	2	46645.428
14	43	2	46645.528
14	44	2	46645.628
14	45	2	46645.628
14	46	2	46645.728
14	47	2	46645.928
14	48	2	46645.928
14	49	2	46646.228
14	50	2	46646.228
14	51	2	46646.428
14	52	2	46646.428
14	53	2	46646.228
14	54	2	46646.428
14	55	2	46646.228
14	56	2	46646.228
14	57	2	46645.828
14	58	2	46645.628
14	59	2	46645.328
15	0	2	46644.828
15	1	2	46644.528
15	2	2	46644.228
15	3	2	46644.028
15	4	2	46643.828
15	5	2	46643.828
15	6	2	46643.528
15	7	2	46643.528
15	8	2	46643.028
15	9	2	46643.128
15	10	2	46642.928
15	11	2	46642.628
15	12	2	46642.628
15	13	2	46642.428
15	14	2	46642.728
15	15	2	46642.828
15	16	2	46642.828
15	17	2	46642.728
15	18	2	46642.428
15	19	2	46642.328
15	20	2	46642.128
15	21	2	46642.028
15	22	2	46642.128
15	23	2	46642.028
15	24	2	46642.028
15	25	2	46642.028
15	26	2	46642.228
15	27	2	46642.028
15	28	2	46642.028
15	29	2	46641.728
15	30	2	46641.628
15	31	2	46641.228
15	32	2	46641.428
15	33	2	46641.528
15	34	2	46641.228
15	35	2	46640.728
15	36	2	46640.128
15	37	2	46639.528
15	38	2	46639.028
15	39	2	46638.728
15	40	2	46638.328
15	41	2	46638.028
15	42	2	46637.528
15	43	2	46637.428
15	44	2	46637.228
15	45	2	46637.228
15	46	2	46636.728
15	47	2	46636.428
15	48	2	46636.128
15	49	2	46635.628
15	50	2	46635.328
15	51	2	46635.328
15	52	2	46635.528
15	53	2	46635.328
15	54	2	46634.928
15	55	2	46634.828
15	56	2	46634.628
15	57	2	46634.828
15	58	2	46634.928
15	59	2	46635.428
16	0	2	46635.528
