X(m)	Y(m)	TIME AM/PM	RAW-MAG	IGRF
0	0	8:44 AM	46621.14	46381.2
100	0	8:48 AM	46595.78	46388.8
200	0	8:52 AM	46642.7	46396.4
300	0	8:56 AM	46687.13	46404
400	0	9:00 AM	46703.25	46411.5
500	0	9:04 AM	46625.69	46419
600	0	9:08 AM	46630.22	46426.4
700	0	9:12 AM	46652.65	46433.8
800	0	9:16 AM	46688.19	46441.1
900	0	9:20 AM	46741.12	46448.4
0	100	9:28 AM	46603.89	46432
100	100	9:32 AM	46627.26	46439.7
200	100	9:36 AM	46666.43	46447.3
300	100	9:40 AM	46670.31	46454.9
400	100	9:44 AM	46720.05	46462.4
500	100	9:48 AM	46753.38	46469.9
600	100	9:52 AM	46727.13	46477.4
700	100	9:56 AM	46785.26	46484.8
800	100	10:00 AM	46746.94	46492.1
900	100	10:04 AM	46761.92	46499.4
0	200	10:13 AM	46619.25	46482.9
100	200	10:16 AM	46662.43	46490.6
200	200	10:20 AM	46715.22	46498.3
300	200	10:24 AM	46700.79	46505.9
400	200	10:28 AM	46702.07	46513.4
500	200	10:32 AM	46653.31	46521
600	200	10:36 AM	46742.11	46528.4
700	200	10:40 AM	46799.59	46535.9
800	200	10:44 AM	46774.99	46543.2
900	200	10:48 AM	46759.43	46550.6
0	300	10:56 AM	46850.94	46534
100	300	11:00 AM	46742.6	46541.7
200	300	11:04 AM	46742.87	46549.4
300	300	11:08 AM	46723.01	46557
400	300	11:12 AM	46745.69	46564.6
500	300	11:16 AM	46766.18	46572.1
600	300	11:20 AM	46760.58	46579.6
700	300	11:24 AM	46826.3	46587.1
800	300	11:28 AM	46847.6	46594.5
900	300	11:32 AM	46925.79	46601.8
0	400	11:36 AM	46941.93	46585.2
100	400	11:44 AM	46898.35	46592.9
200	400	11:48 AM	46828.63	46600.6
300	400	11:52 AM	46747.52	46608.3
400	400	11:56 AM	46751.23	46615.9
500	400	12:00 PM	46792.53	46623.4
600	400	12:04 PM	46831.43	46630.9
700	400	12:08 PM	46887	46638.4
800	400	12:12 PM	46880.14	46645.8
900	400	12:16 PM	46889.26	46653.2
0	500	12:24 PM	46929.89	46636.5
100	500	12:28 PM	46946.69	46644.3
200	500	12:32 PM	46895.31	46652
300	500	12:36 PM	46833.97	46659.7
400	500	12:40 PM	46813.08	46667.3
500	500	12:44 PM	46854.71	46674.8
600	500	12:48 PM	46857.42	46682.4
700	500	12:52 PM	46866.29	46689.9
800	500	12:56 PM	46901.24	46697.3
900	500	1:00 PM	46907.74	46704.7
0	600	1:09 PM	46983.39	46688
100	600	1:12 PM	47007.19	46695.7
200	600	1:16 PM	46981.96	46703.5
300	600	1:20 PM	46899.95	46711.1
400	600	1:24 PM	46906.21	46718.8
500	600	1:28 PM	46908.84	46726.4
600	600	1:32 PM	46910.48	46733.9
700	600	1:36 PM	46998.47	46741.4
800	600	1:40 PM	46949.99	46748.9
900	600	1:44 PM	46919.13	46756.3
0	700	1:51 PM	46986.99	46739.5
100	700	1:56 PM	47046.15	46747.3
200	700	2:00 PM	47033.67	46755
300	700	2:04 PM	47037.93	46762.7
400	700	2:08 PM	46975.65	46770.4
500	700	2:12 PM	46986.55	46778
600	700	2:16 PM	46913.25	46785.6
700	700	2:20 PM	46982.33	46793.1
800	700	2:24 PM	47013.15	46800.6
900	700	2:28 PM	47100.62	46808
0	800	2:36 PM	47012.4	46791.1
100	800	2:40 PM	47111.25	46798.9
200	800	2:44 PM	47157.26	46806.7
300	800	2:48 PM	47107.5	46814.4
400	800	2:52 PM	47183.91	46822.1
500	800	2:56 PM	47036.42	46829.8
600	800	3:00 PM	47018.11	46837.3
700	800	3:04 PM	47035.49	46844.9
800	800	3:08 PM	47049.28	46852.4
900	800	3:12 PM	47074.37	46859.8
0	900	3:20 PM	47018.17	46842.9
100	900	3:16 PM	47048.62	46850.7
200	900	3:20 PM	47093.34	46858.5
300	900	3:24 PM	47091.78	46866.3
400	900	3:28 PM	47103.55	46874
500	900	3:32 PM	47083.7	46881.6
600	900	3:36 PM	47023.86	46889.2
700	900	3:40 PM	47085.55	46896.8
800	900	3:44 PM	47100.99	46904.3
900	900	3:48 PM	47133.94	46911.8
