  X         Y          Z
  78.0083  15.9965    291.00
  78.0250  15.9965    285.00
  78.0417  15.9965    281.00
  78.0583  15.9965    273.00
  78.0750  15.9965    267.00
  78.0917  15.9965    265.00
  78.1083  15.9965    265.00
  78.1250  15.9965    265.00
  78.1417  15.9965    267.00
  78.1583  15.9965    285.00
  78.1750  15.9965    289.00
  78.1917  15.9965    287.00
  78.2083  15.9965    283.00
  78.2250  15.9965    267.00
  78.2417  15.9965    263.00
  78.2583  15.9965    263.00
  78.2750  15.9965    269.00
  78.2917  15.9965    265.00
  78.3083  15.9965    263.00
  78.3250  15.9965    263.00
  78.3417  15.9965    263.00
  78.3583  15.9965    263.00
  78.3750  15.9965    263.00
  78.3917  15.9965    269.00
  78.4083  15.9965    277.00
  78.4250  15.9965    285.00
  78.4417  15.9965    303.00
  78.4583  15.9965    305.00
  78.4750  15.9965    347.00
  78.4917  15.9965    369.00
  78.5083  15.9965    397.00
  78.5250  15.9965    461.00
  78.5417  15.9965    487.00
  78.5583  15.9965    433.00
  78.5750  15.9965    459.00
  78.5917  15.9965    501.00
  78.6083  15.9965    527.00
  78.6250  15.9965    527.00
  78.6417  15.9965    495.00
  78.6583  15.9965    467.00
  78.6750  15.9965    461.00
  78.6917  15.9965    471.00
  78.7083  15.9965    489.00
  78.7250  15.9965    475.00
  78.7417  15.9965    399.00
  78.7583  15.9965    483.00
  78.7750  15.9965    523.00
  78.7917  15.9965    563.00
  78.8083  15.9965    531.00
  78.8250  15.9965    519.00
  78.8417  15.9965    531.00
  78.8583  15.9965    627.00
  78.8750  15.9965    651.00
  78.8917  15.9965    707.00
  78.9083  15.9965    723.00
  78.9250  15.9965    753.00
  78.9417  15.9965    741.00
  78.9583  15.9965    633.00
  78.9750  15.9965    571.00
  78.9917  15.9965    639.00
  79.0083  15.9965    619.00
  79.0250  15.9965    537.00
  79.0417  15.9965    531.00
  79.0583  15.9965    543.00
  79.0750  15.9965    543.00
  79.0917  15.9965    583.00
  79.1083  15.9965    491.00
  79.1250  15.9965    505.00
  79.1417  15.9965    529.00
  79.1583  15.9965    405.00
  79.1750  15.9965    317.00
  79.1917  15.9965    267.00
  79.2083  15.9965    251.00
  79.2250  15.9965    217.00
  79.2417  15.9965    215.00
  79.2583  15.9965    221.00
  79.2750  15.9965    235.00
  79.2917  15.9965    311.00
  79.3083  15.9965    199.00
  79.3250  15.9965    165.00
  79.3417  15.9965    155.00
  79.3583  15.9965    147.00
  79.3750  15.9965    143.00
  79.3917  15.9965    145.00
  79.4083  15.9965    145.00
  79.4250  15.9965    143.00
  79.4417  15.9965    131.00
  79.4583  15.9965    123.00
  79.4750  15.9965    117.00
  79.4917  15.9965    111.00
  79.5083  15.9965    107.00
  79.5250  15.9965    101.00
  79.5417  15.9965     97.00
  79.5583  15.9965     93.00
  79.5750  15.9965    105.00
  79.5917  15.9965     91.00
  79.6083  15.9965     85.00
  79.6250  15.9965     85.00
  79.6417  15.9965     83.00
  79.6583  15.9965     77.00
  79.6750  15.9965     75.00
  79.6917  15.9965     75.00
  79.7083  15.9965     75.00
  79.7250  15.9965     79.00
  79.7417  15.9965     71.00
  79.7583  15.9965     65.00
  79.7750  15.9965     65.00
  79.7917  15.9965     61.00
  79.8083  15.9965     57.00
  79.8250  15.9965     57.00
  79.8417  15.9965     55.00
  79.8583  15.9965     61.00
  79.8750  15.9965     59.00
  79.8917  15.9965     69.00
  79.9083  15.9965    119.00
  79.9250  15.9965     93.00
  79.9417  15.9965     97.00
  79.9583  15.9965     99.00
  79.9750  15.9965     83.00
  79.9917  15.9965     61.00
  80.0083  15.9965     55.00
  78.0083  15.9804    297.00
  78.0250  15.9804    295.00
  78.0417  15.9804    283.00
  78.0583  15.9804    279.00
  78.0750  15.9804    273.00
  78.0917  15.9804    271.00
  78.1083  15.9804    277.00
  78.1250  15.9804    269.00
  78.1417  15.9804    265.00
  78.1583  15.9804    277.00
  78.1750  15.9804    285.00
  78.1917  15.9804    285.00
  78.2083  15.9804    281.00
  78.2250  15.9804    279.00
  78.2417  15.9804    269.00
  78.2583  15.9804    263.00
  78.2750  15.9804    267.00
  78.2917  15.9804    267.00
  78.3083  15.9804    267.00
  78.3250  15.9804    267.00
  78.3417  15.9804    267.00
  78.3583  15.9804    263.00
  78.3750  15.9804    263.00
  78.3917  15.9804    265.00
  78.4083  15.9804    271.00
  78.4250  15.9804    273.00
  78.4417  15.9804    277.00
  78.4583  15.9804    279.00
  78.4750  15.9804    283.00
  78.4917  15.9804    293.00
  78.5083  15.9804    299.00
  78.5250  15.9804    305.00
  78.5417  15.9804    319.00
  78.5583  15.9804    325.00
  78.5750  15.9804    387.00
  78.5917  15.9804    433.00
  78.6083  15.9804    477.00
  78.6250  15.9804    509.00
  78.6417  15.9804    507.00
  78.6583  15.9804    487.00
  78.6750  15.9804    479.00
  78.6917  15.9804    499.00
  78.7083  15.9804    495.00
  78.7250  15.9804    487.00
  78.7417  15.9804    543.00
  78.7583  15.9804    613.00
  78.7750  15.9804    691.00
  78.7917  15.9804    699.00
  78.8083  15.9804    669.00
  78.8250  15.9804    663.00
  78.8417  15.9804    657.00
  78.8583  15.9804    665.00
  78.8750  15.9804    663.00
  78.8917  15.9804    673.00
  78.9083  15.9804    713.00
  78.9250  15.9804    687.00
  78.9417  15.9804    697.00
  78.9583  15.9804    661.00
  78.9750  15.9804    561.00
  78.9917  15.9804    571.00
  79.0083  15.9804    505.00
  79.0250  15.9804    557.00
  79.0417  15.9804    605.00
  79.0583  15.9804    509.00
  79.0750  15.9804    449.00
  79.0917  15.9804    465.00
  79.1083  15.9804    467.00
  79.1250  15.9804    403.00
  79.1417  15.9804    453.00
  79.1583  15.9804    471.00
  79.1750  15.9804    433.00
  79.1917  15.9804    265.00
  79.2083  15.9804    225.00
  79.2250  15.9804    209.00
  79.2417  15.9804    225.00
  79.2583  15.9804    191.00
  79.2750  15.9804    269.00
  79.2917  15.9804    255.00
  79.3083  15.9804    171.00
  79.3250  15.9804    157.00
  79.3417  15.9804    153.00
  79.3583  15.9804    143.00
  79.3750  15.9804    157.00
  79.3917  15.9804    143.00
  79.4083  15.9804    139.00
  79.4250  15.9804    177.00
  79.4417  15.9804    123.00
  79.4583  15.9804    115.00
  79.4750  15.9804    115.00
  79.4917  15.9804    107.00
  79.5083  15.9804    101.00
  79.5250  15.9804     97.00
  79.5417  15.9804     95.00
  79.5583  15.9804    109.00
